Season,Player,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,MP,Age,,,,,,,,
1995-96,George Zidek,6.2,14.6,6.2,14.6,0,0,4.2,5.5,4.1,6.7,10.8,0.9,0.5,0.4,2.2,10,16.6,0.423,0.423,,0.423,0.763,0.486,888,22,,,,,,,,
2012-13,Tyler Zeller,6.3,14.3,6.3,14.2,0,0.1,3.1,4,4.1,7.1,11.2,2.5,0.9,1.8,2.4,6.4,15.6,0.438,0.441,0,0.438,0.764,0.486,2033,23,,,,,,,,
2013-14,Tyler Zeller,7.7,14.3,7.7,14.2,0,0,4.3,5.9,5.1,8.8,13.9,1.8,0.9,1.9,2.9,6.7,19.6,0.538,0.54,0,0.538,0.719,0.581,1049,24,,,,,,,,
2014-15,Tyler Zeller,9.8,17.9,9.8,17.9,0,0,4.4,5.4,4.2,9.2,13.5,3.3,0.5,1.5,2.2,5.9,24.1,0.549,0.549,,0.549,0.823,0.594,1731,25,,,,,,,,
2015-16,Tyler Zeller,9.5,19.9,9.5,19.9,0,0,6,7.4,4.3,8,12.2,2,0.7,1.5,3.2,6.7,25,0.476,0.476,,0.476,0.815,0.539,710,26,,,,,,,,
2013-14,Cody Zeller,6.3,14.8,6.3,14.8,0,0,5.4,7.3,4.3,8.6,12.9,3.4,1.5,1.5,3.2,6.2,18,0.426,0.427,0,0.426,0.73,0.498,1416,21,,,,,,,,
2014-15,Cody Zeller,6,13,5.9,12.9,0,0,4.4,5.7,3.4,9.2,12.6,3.5,1.2,1.7,2.2,5.4,16.4,0.461,0.46,1,0.462,0.774,0.53,1487,22,,,,,,,,
2015-16,Cody Zeller,6.5,12.4,6.5,12.1,0,0.3,4.9,6.6,3.9,9,12.9,2,1.6,1.8,1.9,5.8,18,0.529,0.539,0.1,0.53,0.754,0.592,1774,23,,,,,,,,
2016-17,Cody Zeller,7.4,12.9,7.4,12.9,0,0,3.9,5.7,3.9,7.9,11.8,2.9,1.8,1.7,1.9,5.5,18.6,0.571,0.572,0,0.571,0.679,0.604,1725,24,,,,,,,,
2007-08,Thaddeus Young,9,16.7,8.8,16.1,0.2,0.6,2.6,3.5,4.1,6.6,10.7,2,2.5,0.3,2.2,4.3,20.8,0.539,0.548,0.316,0.545,0.738,0.57,1554,19,,,,,,,,
2008-09,Thaddeus Young,9.8,19.9,8.7,16.5,1.2,3.4,2.9,3.9,2.9,4.9,7.8,1.8,2.1,0.5,2.4,3.4,23.7,0.495,0.526,0.341,0.524,0.735,0.549,2580,20,,,,,,,,
2009-10,Thaddeus Young,9.3,19.9,8.2,16.5,1.2,3.4,2.8,4,3.2,5.4,8.6,2.4,2,0.4,3.1,3.3,22.6,0.47,0.495,0.348,0.499,0.691,0.523,2145,21,,,,,,,,
2010-11,Thaddeus Young,11.2,20.8,11.1,20.2,0.1,0.5,3,4.3,3.8,6.9,10.6,2,2.2,0.6,2.4,4.2,25.6,0.541,0.548,0.273,0.544,0.707,0.566,2135,22,,,,,,,,
2011-12,Thaddeus Young,10.6,21,10.6,20.8,0,0.1,3.4,4.4,4.2,5.7,9.9,2.3,2,1.3,1.7,3.9,24.6,0.507,0.508,0.25,0.507,0.771,0.538,1755,23,,,,,,,,
2012-13,Thaddeus Young,10.2,19.2,10.2,19.1,0,0.2,2.2,3.8,3.7,7.8,11.5,2.5,2.7,1.1,1.8,3.8,22.6,0.531,0.535,0.125,0.532,0.574,0.541,2629,24,,,,,,,,
2013-14,Thaddeus Young,10.4,22.9,8.8,17.7,1.6,5.2,2.9,4.1,3,5.5,8.5,3.2,3,0.6,2.9,3.8,25.2,0.454,0.496,0.308,0.489,0.712,0.512,2718,25,,,,,,,,
2014-15,Thaddeus Young,9.5,20.3,8.7,17.9,0.8,2.4,2.8,4.2,2.7,6,8.6,3.6,2.6,0.5,2.5,3.6,22.5,0.466,0.484,0.33,0.486,0.655,0.507,2434,26,,,,,,,,
2015-16,Thaddeus Young,10.4,20.2,10.2,19.5,0.1,0.6,2.2,3.4,3.7,10.1,13.8,2.8,2.3,0.8,2.8,3.8,23.1,0.514,0.523,0.233,0.518,0.644,0.533,2407,27,,,,,,,,
2016-17,Thaddeus Young,8.1,15.4,7.1,12.7,1,2.6,1,1.9,2.9,7.1,10,2.7,2.5,0.6,2.1,3,18.2,0.527,0.557,0.381,0.56,0.523,0.562,2237,28,,,,,,,,
2009-10,Sam Young,8.7,19.3,8.3,17.1,0.4,2.2,5.3,6.8,3,4.8,7.8,2,1.3,0.8,3.7,4.1,23.1,0.451,0.483,0.196,0.462,0.777,0.518,1321,24,,,,,,,,
2010-11,Sam Young,7.7,16.4,7.2,14.7,0.6,1.7,2.9,3.8,1.3,4.9,6.2,2.4,2.3,0.8,2,4,18.9,0.472,0.486,0.34,0.489,0.767,0.525,1577,25,,,,,,,,
2007-08,Nick Young,9.7,22.1,7.9,17.5,1.9,4.6,4.7,5.7,1.1,4.3,5.3,2.9,1.6,0.3,4.4,6,26,0.439,0.45,0.4,0.481,0.815,0.527,1158,22,,,,,,,,
2008-09,Nick Young,9.6,21.7,8,17,1.6,4.7,4.7,5.5,0.9,3.4,4.3,2.7,1.1,0.6,2.6,4,25.6,0.444,0.473,0.341,0.481,0.85,0.53,1837,23,,,,,,,,
2009-10,Nick Young,8.6,20.6,6,14.3,2.5,6.3,3.8,4.8,0.7,3,3.8,1.8,1,0.3,2.1,5.4,23.6,0.418,0.423,0.406,0.479,0.8,0.519,1421,24,,,,,,,,
2010-11,Nick Young,10.4,23.5,7.7,16.7,2.6,6.8,4.7,5.7,0.7,3.7,4.4,1.9,1.1,0.4,2.3,3.6,28,0.441,0.462,0.387,0.497,0.816,0.538,2034,25,,,,,,,,
2011-12,Nick Young,9.6,23.8,6.5,15.2,3.1,8.6,4.4,5.1,0.9,3.1,4,1.7,1.3,0.5,2.5,4.3,26.7,0.403,0.424,0.365,0.469,0.852,0.512,1729,26,,,,,,,,
2013-14,Nick Young,10.4,23.9,6.8,14.5,3.6,9.4,6.3,7.7,0.8,3.7,4.5,2.6,1.2,0.3,2.6,4.2,30.7,0.435,0.468,0.386,0.511,0.825,0.564,1810,28,,,,,,,,
2016-17,Nick Young,8.5,19.8,3.2,6.6,5.3,13.2,2.4,2.8,0.8,3.5,4.3,1.8,1.2,0.4,1.1,4.3,24.8,0.43,0.481,0.404,0.564,0.856,0.588,1556,31,,,,,,,,
1985-86,Danny Young,5.9,11.6,5.3,9.7,0.6,1.9,2.3,2.7,0.8,2.4,3.1,7.9,2.9,0.2,2.4,2.9,14.7,0.506,0.541,0.324,0.532,0.849,0.573,1901,23,,,,,,,,
1986-87,Danny Young,4.2,9.2,3.3,6.6,0.9,2.5,1.9,2.3,0.7,2.9,3.6,11.2,2.4,0.1,2.7,2.3,11.2,0.458,0.493,0.367,0.509,0.831,0.551,1482,24,,,,,,,,
1987-88,Danny Young,4.5,11,3.4,7.1,1.1,3.9,2.2,2.7,0.9,2.9,3.8,11,2.6,0.1,1.9,3.5,12.3,0.408,0.475,0.286,0.459,0.811,0.503,949,25,,,,,,,,
1989-90,Danny Young,4.6,11,4.1,9.1,0.5,2,3.1,3.8,1,3.1,4.1,7.8,2.8,0.1,2.7,2.8,12.9,0.421,0.454,0.271,0.445,0.813,0.508,1393,27,,,,,,,,
1990-91,Danny Young,5.5,14.4,3.6,8.9,1.9,5.5,2.2,2.4,1.2,2.8,4,7.5,2.7,0.4,2.7,2.6,15.1,0.38,0.401,0.346,0.446,0.911,0.487,897,28,,,,,,,,
2013-14,Tony Wroten,9.5,22.2,8.4,17,1.1,5.2,5.7,8.9,1.9,4.4,6.3,6,2.1,0.4,5.6,4.1,25.8,0.427,0.492,0.213,0.452,0.641,0.493,1765,20,,,,,,,,
1994-95,Sharone Wright,9.3,20,9.3,19.8,0,0.2,4.7,7.3,4.9,7.3,12.2,1.2,1,2.7,3.9,6.3,23.3,0.465,0.47,0,0.465,0.645,0.502,2044,22,,,,,,,,
1996-97,Lorenzen Wright,6.4,13.3,6.4,13.2,0,0.1,2.4,4.1,5.6,7.2,12.8,1.3,1.3,1.6,2.1,5.7,15.2,0.481,0.483,0.25,0.482,0.587,0.504,1936,21,,,,,,,,
1997-98,Lorenzen Wright,6.1,13.6,6.1,13.6,0,0.1,3.5,5.4,4.5,10.7,15.2,1.4,1.4,2.2,2,6,15.7,0.445,0.446,0,0.445,0.659,0.49,2067,22,,,,,,,,
1998-99,Lorenzen Wright,5.6,12.3,5.6,12.2,0,0,3.8,5.5,6.7,10.4,17.1,1.6,1.2,1.7,2.3,7.7,15.1,0.458,0.459,0,0.458,0.692,0.512,1135,23,,,,,,,,
1999-00,Lorenzen Wright,7.8,15.7,7.8,15.5,0,0.1,3.8,5.9,5.1,8.2,13.2,0.9,1.3,1.7,2.9,8.8,19.5,0.499,0.5,0.333,0.5,0.644,0.533,1205,24,,,,,,,,
2000-01,Lorenzen Wright,9.5,21.3,9.5,21.2,0,0.1,4.1,5.7,4.7,9.3,14,2.3,1.1,1.7,3.3,6.1,23.1,0.448,0.449,0,0.448,0.718,0.486,1988,25,,,,,,,,
2002-03,Lorenzen Wright,8.5,18.7,8.5,18.6,0,0.1,3.8,5.8,4.4,9.4,13.8,2.1,1.3,1.4,2.9,5.5,20.8,0.454,0.457,0,0.454,0.659,0.489,1982,27,,,,,,,,
2004-05,Lorenzen Wright,7.6,16.2,7.6,16.1,0,0.1,3.1,4.7,4.2,10.3,14.5,2.1,1.4,1.6,2.4,6,18.3,0.469,0.471,0,0.469,0.662,0.501,2287,29,,,,,,,,
2005-06,Lorenzen Wright,6.4,13.4,6.4,13.3,0,0.1,2.2,3.9,4.7,8.3,13,1.6,1.7,1.5,2.2,6.6,15,0.478,0.48,0,0.478,0.564,0.496,1689,30,,,,,,,,
1979-80,Larry Wright,8.3,18.2,8.2,17.6,0.1,0.6,3.5,3.9,1.5,3,4.4,8.1,1.8,0.7,3.9,5.2,20.3,0.458,0.465,0.25,0.462,0.889,0.51,1286,25,,,,,,,,
2009-10,Dorell Wright,6.9,15,4.8,9.4,2.2,5.6,2.2,2.5,1.8,6.6,8.4,3.3,1.9,1.1,1.9,3.4,18.3,0.463,0.508,0.389,0.536,0.884,0.567,1496,24,,,,,,,,
2010-11,Dorell Wright,7.8,18.4,4.7,10.1,3.1,8.3,2.9,3.7,1.4,5.5,6.9,3.9,2,1,2.1,2.8,21.6,0.423,0.462,0.376,0.508,0.789,0.539,3147,25,,,,,,,,
